pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,Antonym,HasA,HasProperty,IsA,MadeOf,PartOf,Synonym,entropy,nsynsests_source,nsynsests_target
1,HasA,1,HasA,lobby,wall,True,['Ġlobby'],['Ġwall'],1,1,0.009438158,0.87594324,0.014566414,0.011226998,0.07655038,0.004299043,0.007975774,0.7656634,4,9
3,IsA,3,IsA,call,order,True,['Ġcall'],['Ġorder'],1,1,0.08452038,0.0069269394,0.0020551628,0.66207033,0.0063108555,0.04747921,0.19063719,1.4739054,41,24
0,Antonym,3,IsA,keep,store,False,['Ġkeep'],['Ġstore'],1,1,0.58615243,0.002885414,0.005279197,0.10205056,0.003161134,0.006502964,0.29396835,1.4447427,25,6
6,Synonym,6,Synonym,see,view,True,['Ġsee'],['Ġview'],1,1,0.0042875484,0.0025222606,0.008740207,0.091594316,0.0023288634,0.004296199,0.88623065,0.63970304,25,13
6,Synonym,0,Antonym,brake,pedal,False,['Ġbrake'],['Ġpedal'],1,1,0.062095985,0.009966114,0.0019386637,0.056870505,0.005643795,0.09840344,0.7650815,1.2348126,7,5
3,IsA,3,IsA,lake,place,True,['Ġlake'],['Ġplace'],1,1,0.0041461536,0.003405016,0.008451936,0.96995306,0.0035183786,0.0041759647,0.006349494,0.26965162,3,32
0,Antonym,0,Antonym,boy,female,True,['Ġboy'],['Ġfemale'],1,1,0.98359656,0.0020767525,0.0058706715,0.0015479687,0.00129936,0.0020654656,0.0035431192,0.15966721,4,5
0,Antonym,0,Antonym,hill,crater,True,['Ġhill'],['Ġcrater'],1,1,0.87752783,0.05010435,0.013411611,0.0067091575,0.007937055,0.005289667,0.03902043,0.7916421,6,3
3,IsA,3,IsA,box,hit,True,['Ġbox'],['Ġhit'],1,1,0.049000934,0.018665913,0.24544077,0.3783317,0.005111851,0.0041814605,0.29926732,1.9411615,13,24
0,Antonym,0,Antonym,slip,balance,True,['Ġslip'],['Ġbalance'],1,1,0.6413753,0.0038390637,0.0020082304,0.22065721,0.0058604116,0.04538074,0.080878995,1.4801974,26,16
3,IsA,5,PartOf,rapid,river,False,['Ġrapid'],['Ġriver'],1,1,0.015680617,0.002738226,0.054031305,0.7739758,0.0061623803,0.013419413,0.13399227,1.1481363,3,1
3,IsA,3,IsA,level,tool,True,['Ġlevel'],['Ġtool'],1,1,0.012245642,0.0016484598,0.0022646748,0.9474876,0.004633597,0.02377406,0.007945966,0.40625498,19,8
6,Synonym,6,Synonym,rest,relax,True,['Ġrest'],['Ġrelax'],1,1,0.005630536,0.0023600066,0.018068904,0.070737354,0.003209208,0.0040531815,0.89594084,0.6384318,18,8
2,HasProperty,2,HasProperty,copulate,fun,True,"['Ġcop', 'ulate']",['Ġfun'],2,1,0.004547658,0.0040328302,0.9498765,0.03311052,0.0018679807,0.0012010363,0.0053633326,0.36975798,1,4
3,IsA,3,IsA,conflict,state,True,['Ġconflict'],['Ġstate'],1,1,0.010428084,0.0032206662,0.004130447,0.9537515,0.005759657,0.009293563,0.013416109,0.38220513,9,11
2,HasProperty,2,HasProperty,dice,red,True,['Ġdice'],['Ġred'],1,1,0.002098087,0.0015938381,0.9886613,0.0036192602,0.001041267,0.0006636516,0.0023226263,0.11674148,3,7
0,Antonym,5,PartOf,law,theory,False,['Ġlaw'],['Ġtheory'],1,1,0.9687348,0.0039276453,0.0028372419,0.009965015,0.0044602887,0.006325709,0.0037493585,0.27729896,7,3
3,IsA,6,Synonym,author,artist,False,['Ġauthor'],['Ġartist'],1,1,0.006977242,0.0024376796,0.008994167,0.6033554,0.0037841548,0.004998968,0.36945242,1.1714604,3,1
0,Antonym,0,Antonym,he,female,True,['Ġhe'],['Ġfemale'],1,1,0.9591196,0.0035940101,0.025007116,0.0018722982,0.0017144338,0.0020395853,0.0066528963,0.31907377,2,5
4,MadeOf,0,Antonym,paper,ink,False,['Ġpaper'],['Ġink'],1,1,0.110616244,0.20005298,0.019113973,0.013429633,0.6331962,0.006411145,0.017179856,1.5733123,9,5
0,Antonym,0,Antonym,hear,sight,True,['Ġhear'],['Ġsight'],1,1,0.9862157,0.0017262128,0.0019558053,0.002749768,0.0013984771,0.0031125452,0.002841443,0.13979831,5,9
2,HasProperty,2,HasProperty,love,important,True,['Ġlove'],['Ġimportant'],1,1,0.002151868,0.0025243997,0.9805109,0.009678374,0.0019336443,0.0010277297,0.0021730494,0.18030559,10,5
5,PartOf,5,PartOf,song,culture,True,['Ġsong'],['Ġculture'],1,1,0.0056474186,0.0045557735,0.002186083,0.028554827,0.009769247,0.94742167,0.0018650084,0.39938855,6,8
3,IsA,3,IsA,club,weapon,True,['Ġclub'],['Ġweapon'],1,1,0.0037181126,0.0030599677,0.006387076,0.972249,0.004612348,0.005357284,0.004616115,0.25363547,11,2
3,IsA,3,IsA,heterosexual,person,True,['Ġheterosexual'],['Ġperson'],1,1,0.009271776,0.003262383,0.011927413,0.9603164,0.0045403703,0.0038615256,0.0068202014,0.3372417,2,3
0,Antonym,0,Antonym,fear,comfortable,True,['Ġfear'],['Ġcomfortable'],1,1,0.9855282,0.0018992185,0.0029995672,0.0022339008,0.0015629401,0.0038337107,0.0019424566,0.14554776,8,5
2,HasProperty,6,Synonym,mate,friendly,False,['Ġmate'],['Ġfriendly'],1,1,0.004429768,0.006894426,0.8489801,0.07410069,0.0059585394,0.002869188,0.056767344,0.8660846,13,5
5,PartOf,5,PartOf,head,hammer,True,['Ġhead'],['Ġhammer'],1,1,0.0042474507,0.0032607403,0.0011158432,0.009736095,0.0040025353,0.96934366,0.008293687,0.26916987,42,10
