pred_label,pred_rel,real_label,real_rel,source,target,results,toks_source,toks_target,n_toks_source,n_toks_target,ANT,HYPER,PART_OF,RANDOM,SYN,entropy,nsynsests_source,nsynsests_target
4,SYN,1,HYPER,coach,teach,False,['Ġcoach'],['Ġteach'],1,1,0.017117562,0.29953462,0.0039684214,0.0053371596,0.6740422,1.0769457,7,3
0,ANT,1,HYPER,coach,teacher,False,['Ġcoach'],['Ġteacher'],1,1,0.9302687,0.042289384,0.0021768215,0.0018658527,0.023399288,0.45292878,7,2
3,RANDOM,3,RANDOM,coach,coat,True,['Ġcoach'],['Ġcoat'],1,1,0.00033601612,0.00055667694,0.0003972575,0.99817073,0.0005392561,0.022874724,7,6
3,RANDOM,3,RANDOM,coach,dog,True,['Ġcoach'],['Ġdog'],1,1,0.00040329632,0.000575518,0.000493197,0.99800676,0.0005211679,0.024716293,7,8
3,RANDOM,3,RANDOM,coach,performance,True,['Ġcoach'],['Ġperformance'],1,1,0.0003962674,0.0009998658,0.0005359116,0.9974402,0.0006276541,0.030630924,7,5
3,RANDOM,3,RANDOM,coach,pit,True,['Ġcoach'],['Ġpit'],1,1,0.00035191467,0.00046544688,0.00038232616,0.9982529,0.00054743706,0.021979704,7,14
3,RANDOM,3,RANDOM,coach,rain,True,['Ġcoach'],['Ġrain'],1,1,0.00037342386,0.0004898251,0.00038025374,0.9981774,0.00057918107,0.022813505,7,4
3,RANDOM,3,RANDOM,coach,rear,True,['Ġcoach'],['Ġrear'],1,1,0.00033752937,0.00048846146,0.00043355464,0.9981824,0.0005581188,0.022760568,7,11
3,RANDOM,3,RANDOM,coach,ride,True,['Ġcoach'],['Ġride'],1,1,0.003228325,0.28548947,0.04784799,0.5374708,0.12596336,1.6107818,7,16
3,RANDOM,3,RANDOM,coach,side,True,['Ġcoach'],['Ġside'],1,1,0.00026545805,0.0006946566,0.00066022994,0.9978136,0.00056608475,0.026673593,7,14
1,HYPER,1,HYPER,dance,move,True,['Ġdance'],['Ġmove'],1,1,0.004261392,0.98496324,0.0028103525,0.004314026,0.003650925,0.14236103,7,21
